date,food,calories,protein,carbs,fat,time
2025-05-19,whey,180.0,24.0,0.0,0.0,
2025-05-19,Organic Almond Milk Unsweetened,44.0,2.0,2.0,3.6,
2025-05-19,Eggs (2),180.0,13.0,1.0,14.0,
2025-05-19,Lite Mexican Blend Cheese,40.0,4.0,1.0,2.0,
2025-05-19,"Ground Beef: 80% Lean, 20% Fat",233.0,15.0,0.0,18.0,
2025-05-19,Coffee,2.0,0.0,0.0,0.0,
2025-05-19,Oat Milk Vanilla by Califia Farms,15.0,1.0,1.0,1.0,
2025-05-19,Whey,120.0,24.0,3.0,2.0,
2025-05-19,Rolled Oats,80.0,3.0,14.0,2.0,
2025-05-19,Almond Milk Vanilla Unsweetened,44.0,2.0,2.0,4.0,
2025-05-19,Roasted Sweet Potatoes,61.0,2.0,0.0,14.0,
2025-05-21,whey,180.0,0.0,0.0,0.0,
2025-05-21,new,12.0,0.0,0.0,0.0,01:33
2025-05-21,whey,120.0,0.0,0.0,0.0,01:41
2025-05-21,Gu Hydration Tablet,10.0,0.0,0.0,0.0,01:44
2025-05-20,Gu Hydration Tab,10.0,0.0,0.0,0.0,10:06 PM
2025-05-20,Rolled Oats,80.0,3.0,14.0,2.0,10:07 PM
2025-05-20,Gold Standard Whey,120.0,24.0,3.0,2.0,10:07 PM
2025-05-20,"Organic Almond Milk, Vanilla - Unsweetened",44.0,2.0,2.0,4.0,10:08 PM
2025-05-20,Rolled Oats,80.0,3.0,14.0,2.0,10:09 PM
2025-05-20,Gold Standard Whey,120.0,24.0,3.0,2.0,10:09 PM
2025-05-20,"Organic Almond Milk, Vanilla Unsweetened",44.0,2.0,4.0,2.0,10:10 PM
2025-05-20,"Almonds, Roasted & Unsalted",84.0,3.0,3.0,7.0,10:10 PM
2025-05-20,Protein Shake w/ Oats,244.0,28.0,19.0,7.0,10:30 PM
2025-05-21,Beef,20.0,0.0,0.0,0.0,11:19 PM
2025-05-21,Protein Shake w/ Oats,244.0,28.0,19.0,7.0,11:19 PM
2025-05-21,chicken,35.0,0.0,0.0,0.0,11:22 PM
2025-05-21,,0.0,0.0,0.0,0.0,11:22 PM
2025-05-21,new,12.0,0.0,0.0,0.0,11:24 PM
2025-05-21,,0.0,0.0,0.0,0.0,11:24 PM
2025-05-21,Oats,24.0,0.0,0.0,0.0,11:26 PM
2025-05-21,Oats,24.0,0.0,0.0,0.0,11:26 PM
2025-05-21,new,15.0,0.0,0.0,0.0,11:27 PM
2025-05-21,,0.0,0.0,0.0,0.0,11:27 PM
2025-05-21,new recipe,50.0,0.0,0.0,0.0,11:31 PM
2025-05-21,another,12.0,0.0,0.0,0.0,11:32 PM
2025-05-21,Turkey,25.0,0.0,0.0,0.0,11:56 PM
2025-05-21,,0.0,0.0,0.0,0.0,11:56 PM
2025-05-22,Beef,24.0,0.0,0.0,0.0,5:26 PM
2025-05-22,,0.0,0.0,0.0,0.0,5:26 PM
2025-05-22,chicken,50.0,0.0,0.0,0.0,5:28 PM
2025-05-22,,0.0,0.0,0.0,0.0,5:28 PM
2025-05-22,beans,45.0,0.0,0.0,0.0,5:44 PM
2025-05-22,Protein Shake w/ Oats,244.0,28.0,19.0,7.0,5:44 PM
2025-05-22,Protein Shake w/ Oats,244.0,28.0,19.0,7.0,5:45 PM
